ID,Cata,h,bf,tw,tf,k
W44X335,W,1120,404,26.2,45,65
W44X290,W,1110,401,22,40.1,59.9
W44X262,W,1100,401,19.9,36.1,55.9
W44X230,W,1090,401,18,31,51.1
W40X655,W,1110,429,50,89.9,120
W40X593,W,1090,424,45.5,82,112
W40X503,W,1070,417,39.1,70.1,100
W40X431,W,1050,411,34,59.9,89.9
W40X397,W,1040,409,31,55.9,85.9
W40X372,W,1030,409,29.5,52.1,82
W40X362,W,1030,406,28.4,51.1,81
W40X324,W,1020,404,25.4,46,75.9
W40X297,W,1010,401,23.6,41.9,71.9
W40X277,W,1010,401,21.1,40.1,70.1
W40X249,W,1000,401,19.1,36.1,66
W40X215,W,991,401,16.5,31,61
W40X199,W,983,401,16.5,27.2,57.2
W40X392,W,1060,315,36.1,64,94
W40X331,W,1040,310,31,54.1,84.1
W40X327,W,1040,307,30,54.1,84.1
W40X294,W,1030,305,26.9,49,79
W40X278,W,1020,305,26.2,46,75.9
W40X264,W,1020,302,24.4,43.9,73.9
W40X235,W,1010,302,21.1,40.1,70.1
W40X211,W,1000,300,19.1,36.1,66
W40X183,W,991,300,16.5,30.5,60.5
W40X167,W,980,300,16.5,26.2,56.1
W40X149,W,970,300,16,21.1,51.1
W36X925,W,1090,472,76.7,115,134
W36X853,W,1090,462,64,115,134
W36X802,W,1080,457,60.5,109,128
W36X723,W,1060,452,55.1,99.1,118
W36X652,W,1040,447,50,89.9,114
W36X529,W,1010,437,40.9,73.9,98
W36X487,W,998,434,38.1,68.1,92.2
W36X441,W,988,432,34.5,62,86.1
W36X395,W,975,427,31,55.9,80
W36X361,W,965,424,28.4,51.1,75.2
W36X330,W,958,422,25.9,47,71.1
W36X302,W,947,424,24,42.7,66.8
W36X282,W,942,422,22.5,39.9,64
W36X262,W,937,422,21.3,36.6,60.7
W36X247,W,932,419,20.3,34.3,58.4
W36X231,W,927,419,19.3,32,56.1
W36X256,W,951,310,24.4,43.9,63
W36X232,W,943,307,22.1,39.9,58.9
W36X210,W,932,310,21.1,34.5,53.6
W36X194,W,927,307,19.4,32,51.1
W36X182,W,922,307,18.4,30,49
W36X170,W,919,305,17.3,27.9,47
W36X160,W,914,305,16.5,25.9,45
W36X150,W,912,305,15.9,23.9,42.9
W36X135,W,904,305,15.2,20.1,39.1
W33X387,W,914,411,32,57.9,78
W33X354,W,904,409,29.5,53.1,73.2
W33X318,W,894,406,26.4,48,68.1
W33X291,W,884,404,24.4,43.9,64
W33X263,W,876,401,22.1,39.9,59.9
W33X241,W,869,404,21.1,35.6,55.6
W33X221,W,861,401,19.7,32.5,52.3
W33X201,W,856,399,18.2,29.2,49.3
W33X169,W,859,292,17,31,48.8
W33X152,W,851,295,16.1,26.9,44.7
W33X141,W,846,292,15.4,24.4,42.2
W33X130,W,841,292,14.7,21.7,39.6
W33X118,W,836,292,14,18.8,36.6
W30X391,W,843,396,34.5,62,82
W30X357,W,833,394,31.5,56.9,77
W30X326,W,823,391,29,52.1,72.1
W30X292,W,813,389,25.9,47,67.1
W30X261,W,803,386,23.6,41.9,62
W30X235,W,795,384,21.1,38.1,58.2
W30X211,W,785,384,19.7,33.5,53.3
W30X191,W,780,381,18,30.2,50
W30X173,W,772,381,16.6,27.2,47
W30X148,W,780,267,16.5,30,46.5
W30X132,W,770,267,15.6,25.4,41.9
W30X124,W,767,267,14.9,23.6,40.1
W30X116,W,762,267,14.4,21.6,38.1
W30X108,W,757,267,13.8,19.3,35.8
W30X99,W,754,267,13.2,17,33.5
W30X90,W,749,264,11.9,15.5,32
W27X539,W,826,389,50,89.9,110
W27X368,W,772,373,35.1,63,83.1
W27X336,W,762,371,32,57.9,78
W27X307,W,752,366,29.5,53.1,73.2
W27X281,W,744,366,26.9,49,69.1
W27X258,W,737,363,24.9,45,65
W27X235,W,729,361,23.1,40.9,61
W27X217,W,721,358,21.1,38.1,58.2
W27X194,W,714,356,19.1,34,54.1
W27X178,W,706,358,18.4,30.2,50.3
W27X161,W,701,356,16.8,27.4,47.5
W27X146,W,696,356,15.4,24.8,44.7
W27X129,W,701,254,15.5,27.9,43.2
W27X114,W,693,257,14.5,23.6,38.9
W27X102,W,688,254,13.1,21.1,36.3
W27X94,W,683,254,12.4,18.9,34
W27X84,W,678,254,11.7,16.3,31.5
W24X370,W,711,348,38.6,69.1,81.8
W24X335,W,699,343,35.1,63,75.7
W24X306,W,688,340,32,57.9,70.6
W24X279,W,678,338,29.5,53.1,65.8
W24X250,W,668,335,26.4,48,60.7
W24X229,W,660,333,24.4,43.9,56.6
W24X207,W,653,330,22.1,39.9,52.6
W24X192,W,648,330,20.6,37.1,49.8
W24X176,W,640,328,19.1,34,46.7
W24X162,W,635,330,17.9,31,43.7
W24X146,W,627,328,16.5,27.7,40.4
W24X131,W,622,328,15.4,24.4,37.1
W24X117,W,617,325,14,21.6,34.3
W24X104,W,612,325,12.7,19.1,31.8
W24X103,W,622,229,14,24.9,37.6
W24X94,W,617,230,13.1,22.2,35.1
W24X84,W,612,229,11.9,19.6,32.3
W24X76,W,607,228,11.2,17.3,30
W24X68,W,602,228,10.5,14.9,27.7
W24X62,W,602,179,10.9,15,27.7
W24X55,W,599,178,10,12.8,25.7
W21X275,W,612,328,31,55.6,85.6
W21X248,W,602,325,27.9,50.5,80.5
W21X223,W,594,323,25.4,45.5,75.4
W21X201,W,584,320,23.1,41.4,54.1
W21X182,W,577,318,21.1,37.6,50.3
W21X166,W,572,315,19.1,34.5,47.2
W21X147,W,561,318,18.3,29.2,41.9
W21X132,W,554,315,16.5,26.4,39.1
W21X122,W,551,315,15.2,24.4,37.1
W21X111,W,546,312,14,22.2,35.1
W21X101,W,544,312,12.7,20.3,33
W21X93,W,549,214,14.7,23.6,36.3
W21X83,W,544,212,13.1,21.2,34
W21X73,W,538,211,11.6,18.8,31.5
W21X68,W,536,210,10.9,17.4,30.2
W21X62,W,533,209,10.2,15.6,28.4
W21X55,W,528,209,9.53,13.3,25.9
W21X48,W,523,207,8.89,10.9,23.6
W21X57,W,536,167,10.3,16.5,29.2
W21X50,W,528,166,9.65,13.6,26.4
W21X44,W,526,165,8.89,11.4,24.1
W18X311,W,566,305,38.6,69.6,82.3
W18X283,W,556,302,35.6,63.5,76.2
W18X258,W,546,300,32.5,58.4,68.6
W18X234,W,536,297,29.5,53.6,63.8
W18X211,W,526,295,26.9,48.5,58.7
W18X192,W,518,292,24.4,44.5,54.6
W18X175,W,508,290,22.6,40.4,50.5
W18X158,W,500,287,20.6,36.6,46.7
W18X143,W,495,284,18.5,33.5,43.7
W18X130,W,490,284,17,30.5,40.6
W18X119,W,483,287,16.6,26.9,37.1
W18X106,W,475,284,15,23.9,34
W18X97,W,472,282,13.6,22.1,32.3
W18X86,W,467,282,12.2,19.6,29.7
W18X76,W,462,279,10.8,17.3,27.4
W18X71,W,470,194,12.6,20.6,30.7
W18X65,W,467,193,11.4,19.1,29.2
W18X60,W,462,192,10.5,17.7,27.9
W18X55,W,460,191,9.91,16,26.2
W18X50,W,457,191,9.02,14.5,24.7
W18X46,W,460,154,9.14,15.4,25.7
W18X40,W,455,153,8,13.3,23.5
W18X35,W,450,152,7.62,10.8,21
W16X100,W,432,264,14.9,25,35.3
W16X89,W,427,264,13.3,22.2,32.5
W16X77,W,419,262,11.6,19.3,29.5
W16X67,W,414,259,10,16.9,27.2
W16X57,W,417,181,10.9,18.2,28.4
W16X50,W,414,180,9.65,16,26.2
W16X45,W,409,179,8.76,14.4,24.6
W16X40,W,406,178,7.75,12.8,23
W16X36,W,404,178,7.49,10.9,21.1
W16X31,W,404,140,6.99,11.2,21.4
W16X26,W,399,140,6.35,8.76,19
W14X873,W,599,478,100,140,155
W14X808,W,579,472,95,130,145
W14X730,W,569,455,78,125,140
W14X665,W,549,450,71.9,115,130
W14X605,W,531,442,66,106,121
W14X550,W,513,437,60.5,97,112
W14X500,W,498,432,55.6,88.9,104
W14X455,W,483,427,51.3,81.5,96.8
W14X426,W,475,424,47.8,77.2,92.2
W14X398,W,465,422,45,72.4,87.4
W14X370,W,455,419,42.2,67.6,82.8
W14X342,W,445,417,39.1,62.7,78
W14X311,W,434,411,35.8,57.4,72.6
W14X283,W,424,409,32.8,52.6,67.8
W14X257,W,417,406,30,48,63.2
W14X233,W,406,404,27.2,43.7,58.9
W14X211,W,399,401,24.9,39.6,54.9
W14X193,W,394,399,22.6,36.6,51.8
W14X176,W,386,399,21.1,33.3,48.5
W14X159,W,381,396,18.9,30.2,45.5
W14X145,W,376,394,17.3,27.7,42.9
W14X132,W,373,373,16.4,26.2,41.4
W14X120,W,368,373,15,23.9,39.1
W14X109,W,363,371,13.3,21.8,37.1
W14X99,W,361,371,12.3,19.8,35.1
W14X90,W,356,368,11.2,18,33.3
W14X82,W,363,257,13,21.7,36.8
W14X74,W,361,257,11.4,19.9,35.1
W14X68,W,356,254,10.5,18.3,33.3
W14X61,W,353,254,9.53,16.4,31.5
W14X53,W,353,205,9.4,16.8,31.8
W14X48,W,351,204,8.64,15.1,30.2
W14X43,W,348,203,7.75,13.5,28.4
W14X38,W,358,172,7.87,13.1,23.2
W14X34,W,356,171,7.24,11.6,21.7
W14X30,W,351,171,6.86,9.78,19.9
W14X26,W,353,128,6.48,10.7,20.8
W14X22,W,348,127,5.84,8.51,18.7
W12X336,W,427,340,45.2,75.2,90.2
W12X305,W,414,335,41.4,68.8,83.8
W12X279,W,404,333,38.9,62.7,78
W12X252,W,391,330,35.6,57.2,72.4
W12X230,W,384,328,32.8,52.6,67.8
W12X210,W,373,325,30,48.3,63.5
W12X190,W,366,323,26.9,44.2,59.2
W12X170,W,356,320,24.4,39.6,54.9
W12X152,W,348,318,22.1,35.6,50.8
W12X136,W,340,315,20.1,31.8,47
W12X120,W,333,312,18,28.2,43.2
W12X106,W,328,310,15.5,25.1,40.4
W12X96,W,323,310,14,22.9,38.1
W12X87,W,318,307,13.1,20.6,35.8
W12X79,W,315,307,11.9,18.7,33.8
W12X72,W,312,305,10.9,17,32.3
W12X65,W,307,305,9.91,15.4,30.5
W12X58,W,310,254,9.14,16.3,31.5
W12X53,W,307,254,8.76,14.6,30
W12X50,W,310,205,9.4,16.3,29
W12X45,W,307,204,8.51,14.6,27.4
W12X40,W,302,203,7.49,13.1,25.9
W12X35,W,318,167,7.62,13.2,20.8
W12X30,W,312,166,6.6,11.2,18.8
W12X26,W,310,165,5.84,9.65,17.3
W12X22,W,312,102,6.6,10.8,18.4
W12X19,W,310,102,5.97,8.89,16.5
W12X16,W,305,101,5.59,6.73,14.4
W12X14,W,302,101,5.08,5.72,13.3
W10X112,W,290,264,19.2,31.8,44.5
W10X100,W,282,262,17.3,28.4,41.1
W10X88,W,274,262,15.4,25.1,37.8
W10X77,W,269,259,13.5,22.1,34.8
W10X68,W,264,257,11.9,19.6,32.3
W10X60,W,259,257,10.7,17.3,30
W10X54,W,257,254,9.4,15.6,28.4
W10X49,W,254,254,8.64,14.2,26.9
W10X45,W,257,204,8.89,15.7,28.4
W10X39,W,252,203,8,13.5,26.2
W10X33,W,247,202,7.37,11,23.7
W10X30,W,267,148,7.62,13,20.6
W10X26,W,262,147,6.6,11.2,18.8
W10X22,W,259,146,6.1,9.14,16.8
W10X19,W,259,102,6.35,10,17.7
W10X17,W,257,102,6.1,8.38,16
W10X15,W,254,102,5.84,6.86,14.5
W10X12,W,251,101,4.83,5.33,13
W8X67,W,229,210,14.5,23.7,33.8
W8X58,W,222,209,13,20.6,30.5
W8X48,W,216,206,10.2,17.4,27.4
W8X40,W,210,205,9.14,14.2,24.2
W8X35,W,206,204,7.87,12.6,22.6
W8X31,W,203,203,7.24,11,21.1
W8X28,W,205,166,7.24,11.8,21.8
W8X24,W,201,165,6.22,10.2,20.2
W8X21,W,210,134,6.35,10.2,17.8
W8X18,W,207,133,5.84,8.38,16
W8X15,W,206,102,6.22,8,15.6
W8X13,W,203,102,5.84,6.48,14.1
W8X10,W,200,100,4.32,5.21,12.8
W6X25,W,162,154,8.13,11.6,17.9
W6X20,W,157,153,6.6,9.27,15.6
W6X15,W,152,152,5.84,6.6,13
W6X16,W,160,102,6.6,10.3,16.6
W6X12,W,153,102,5.84,7.11,13.5
W6X9,W,150,100,4.32,5.46,11.8
W6X8.5,W,148,100,4.32,4.95,11.3
W5X19,W,131,128,6.86,10.9,18.5
W5X16,W,127,127,6.1,9.14,16.8
W4X13,W,106,103,7.11,8.76,15.1
H-100×100x6x8,H,100,100,6,8,10
H-125×125x6.5x9,H,125,125,6.5,9,10
H-150×75x5x7,H,150,75,5,7,8
H-148×100x6x9,H,148,100,6,9,11
H-150×150x7x10,H,150,150,7,10,11
H-198×99x4.5x7,H,198,99,4.5,7,11
H-200×100x5.5x8,H,200,100,5.5,8,11
H-194×150x6x9,H,194,150,6,9,13
H-200×200x8x12,H,200,200,8,12,13
H-200×204x12x12,H,200,204,12,12,13
H-208×202x10x16,H,208,202,10,16,13
H-248×124x5x8,H,248,124,5,8,12
H-250×125x6x9,H,250,125,6,9,12
H-244×175x7x11,H,244,175,7,11,16
H-244×252x11x11,H,244,252,11,11,16
H-248×249x8x13,H,248,249,8,13,16
H-250×250x9x14,H,250,250,9,14,16
H-250×255x14x14,H,250,255,14,14,16
H-298×149x5.5x8,H,298,149,5.5,8,13
H-300×150x6.5x9,H,300,150,6.5,9,13
H-294×200x8x12,H,294,200,8,12,18
H-298×201x9x14,H,298,201,9,14,18
H-294×302x12x12,H,294,302,12,12,18
H-298×299x9x14,H,298,299,9,14,18
H-300×300x10x15,H,300,300,10,15,18
H-300×305x15x15,H,300,305,15,15,18
H-304×301x11x17,H,304,301,11,17,18
H-310×305x15x20,H,310,305,15,20,18
H-310×310x20x20,H,310,310,20,20,18
H-346×174x6x9,H,346,174,6,9,14
H-350×175x7x11,H,350,175,7,11,14
H-354×176x8x13,H,354,176,8,13,14
H-336×249x8x12,H,336,249,8,12,20
H-340×250x9x14,H,340,250,9,14,20
H-338×351x13x13,H,338,351,13,13,20
H-344×348x10x16,H,344,348,10,16,20
H-344×354x16x16,H,344,354,16,16,20
H-350×350x12x19,H,350,350,12,19,20
H-350×357x19x19,H,350,357,19,19,20
H-396×199x7x11,H,396,199,7,11,16
H-400×200x8x13,H,400,200,8,13,16
H-404×201x9x15,H,404,201,9,15,16
H-386×299x9x14,H,386,299,9,14,22
H-390×300x10x16,H,390,300,10,16,22
H-388×402x15x15,H,388,402,15,15,22
H-394×398x11x18,H,394,398,11,18,22
H-394×405x18x18,H,394,405,18,18,22
H-400×400x13x21,H,400,400,13,21,22
H-400×408x21x21,H,400,408,21,21,22
H-406×403x16x24,H,406,403,16,24,22
H-414×405x18x28,H,414,405,18,28,22
H-428×407x20x35,H,428,407,20,35,22
H-458×417x30x50,H,458,417,30,50,22
H-498×432x45x70,H,498,432,45,70,22
H-446×199x8x12,H,446,199,8,12,18
H-450×200x9x14,H,450,200,9,14,18
H-434×299x10x15,H,434,299,10,15,24
H-440×300x11x18,H,440,300,11,18,24
H-496×199x9x14,H,496,199,9,14,20
H-500×200x10x16,H,500,200,10,16,20
H-506×201x11x19,H,506,201,11,19,20
H-482×300x11x15,H,482,300,11,15,26
H-488×300x11x18,H,488,300,11,18,26
H-596×199x10x15,H,596,199,10,15,22
H-600×200x11x17,H,600,200,11,17,22
H-606×201x12x20,H,606,201,12,20,22
H-612×202x13x23,H,612,202,13,23,22
H-582×300x12x17,H,582,300,12,17,28
H-588×300x12x20,H,588,300,12,20,28
H-594×302x14x23,H,594,302,14,23,28
H-692×300x13x20,H,692,300,13,20,28
H-700×300x13x24,H,700,300,13,24,28
H-708×302x15x28,H,708,302,15,28,28
H-792×300x14x22,H,792,300,14,22,28
H-800×300x14x26,H,800,300,14,26,28
H-808×302x16x30,H,808,302,16,30,28
H-890×299x15x23,H,890,299,15,23,18
H-900×300x16x28,H,900,300,16,28,18
H-912×302x18x34,H,912,302,18,34,18
H-918×303x19x37,H,918,303,19,37,18
BH-1000x400x15x30,BH,1000,400,15,30,28
BH-2200x350x10x30,BH,2200,350,10,30,28
BH-700x350x10x30,BH,700,350,10,30,28
BH-2200x300x10x25,BH,2200,300,10,25,28
BH-1500x300x10x25,BH,1500,300,10,25,28
BH-1800x300x10x25,BH,1800,300,10,25,28
BH-700x300x10x25,BH,700,300,10,25,28
BH-2200x350x10x25,BH,2200,350,10,25,28
BH-1500x350x10x25,BH,1500,350,10,25,28
BH-1200x300x10x25,BH,1200,300,10,25,28
BH-700x350x10x25,BH,700,350,10,25,28
BH-2200x350x15x30,BH,2200,350,15,30,28
BH-1500x350x15x30,BH,1500,350,15,30,28
BH-1800x350x15x30,BH,1800,350,15,30,28
